,Topic,Raw Count
657, wages union unemployment employers,2
658, hm street london mr,2
659, mr leicester employment smith,2
660, branch operatives secretary district,2
661, houses housing building rooms,2
662, death sympathy funeral death mr,2
663, firm trade firms industry,2
664, women members womens operatives,2
665, street leicester london kettering,2
666, position progress hope future,2
667, benefit insurance fund unemployment,2
668, government policy movement position,2
669, death sympathy family died,2
670, members membership thanks hope,2
671, operatives men hm hm service men,2
672, stamp stamped union stamp make success,2
673, education educational teachers age,2
674, miners industry coal agricultural,2
675, secretary report reports general,2
676, holiday holidays day th,2
677, members scheme membership societies,2
678, conference members resolution council,2
679, union labour unions international labour,2
680, cent year increase fund,2
681, branch branches district president,2
682, party labour party labour government,2
683, war movement peace communists,2
684, agreement convention settlement federation,2
685, holiday superannuation pensions scheme,2
686, leicester employment norwich northampton,2
687, arbitration defendant case suspension,2
688, daily herald daily herald report,2
689, half half year balance year,2
690, holiday holidays month th,2
691, reports scheme report statements,2
692, stamp central office returns central,2
693, trade bad rushden trade bad,2
694, seamen war ship ex,2
695, mr general council labour,2
696, union labour miners workers,2
697, report exclusively use reports exclusively exclusively,2
698, miners firm trade coal,2
699, leicester employment kettering norwich,2
700, branch secretary operatives branches,2
701, russia league russian germany,2
702, trade union workers miners,2
703, conference council general agreement,2
704, trade board arbitration trade board,2
705, women girls men education,2
706, movement men rely rely men,2
707, women womens leicester womens womens branch,2
708, members membership success interests success,2
709, tuberculosis health sick treatment,2
710, trade repairing repairers quiet,2
711, man work week said,2
712, union labour employers international,2
713, conference members council resolution,2
714, mr street leicester road,2
715, war government nations agreement,2
716, wages rates minimum unemployed,2
717, insurance holiday benefit unemployment,2
718, work man did business,2
719, unemployment wages rates employment,2
720, trade manufacturers industry board,2
721, movement peace war communists,2
722, report district reports inspectors,2
723, employment short time short improvement,2
724, jubilee letter simon herr,2
725, men movement men rely rely,2
726, report statements letter central office,2
727, scheme creep errors creep errors,2
728, hours hour short time short,2
729, mr women leicester smith,2
730, trade firm manufacturers rates,2
731, war movement policy government,2
732, houses land housing agricultural,2
733, trade scottish improvement employment,2
734, operatives seamen time ship,2
735, members membership trust members happy,2
736, inspectors reports report inspection,2
737, peace war position goodwill,2
738, stamp stamped union stamp families wear,2
739, government land policy agricultural,2
740, russia federation russian emigration,2
741, conference resolution agreement arbitration,2
742, branch members education operatives,2
743, insurance holiday superannuation pensions,2
744, firm manufacturers firms shop,2
745, stamp stamped report reports,2
746, conference delegates council government,2
747, branch branches operatives rates,2
748, arbitration strike suspension suspended,2
749, rely men statements errors creep,2
750, union labour unemployment employers,2
751, trade firm bad manufacturers,2
752, operatives members membership mccarthy,2
753, branch branches secretary returns,2
754, scheme reports report statements,2
755, russia germany france russian,2
756, branch branches central office returns,2
757, work man did good,2
758, union conference unions labour,2
759, employers wages employment labour,2
760, miners firm industry trade,2
761, scheme position hope future,2
762, holiday holidays th april,2
763, cent increase compared year,2
764, conference union members council,2
765, unemployment labour workers employment,2
766, superannuation pensions rates cent,2
767, nations russia league league nations,2
768, miners coal war mining,2
769, delete holiday rule line,2
770, defendant arrears suspension suspended,2
771, members stamp union stamp membership,2
772, president richards general president general,2
773, conference party labour delegates,2
774, insurance fund pensions benefit,2
775, operatives seamen officers service men,2
776, trade bad improvement plymouth,2
777, food agricultural land agriculture,2
778, man work week wife,2
779, happy thanks shall happy delegates,2
780, reports report exclusively exclusively use,2
781, labour conference union party,2
782, general council committee board,2
783, unemployment employers wages hours,2
784, trade improvement bad quiet,2
785, miners coal industry land,2
786, report reports exclusively use reports exclusively,2
787, labour union hours employers,2
788, conference delegates mr general,2
789, government agreement war federation,2
790, members membership position hope,2
791, houses housing district land,2
792, movement class people communists,2
793, trade war emigration seamen,2
794, unemployment employers employment insurance,2
795, miners houses manufacturers industry,2
796, street london firm hm,2
797, cent prices cost living cost,2
798, union unemployment unions employers,2
799, mr hm poulton dead,2
800, miners coal agricultural land,2
801, holiday employment short time short,2
802, cent pairs increase dozen,2
803, women mr smith leicester,2
804, employers hours employment unemployment,2
805, branch secretary branches office,2
806, members meeting membership president,2
807, operatives seamen war ship,2
808, holiday unemployment unemployed employment,2
809, shoe boot leather boot shoe,2
810, operatives seamen ship ex,2
811, union members labour general,2
812, unemployment employers labour employment,2
813, mr london leicester street,2
814, movement people hope shall,2
815, factory manufacturers factories industry,2
816, nations league russia countries,2
817, man work years wife,2
818, death sympathy died widow,2
819, report reports exclusively use letter,2
820, labour union miners international labour,2
821, conference council chairman delegates,2
822, houses housing land rent,2
823, movement socialist communists societies,2
824, improvement short time short slight,2
825, union labour unemployment unions,2
826, mr labour branch secretary,2
827, firm firms industry industrial,2
828, trade miners coal trade board,2
829, insurance pensions superannuation defendant,2
830, food prices sugar agricultural,2
831, month week february march,2
832, leicester scottish norwich mr,2
833, employment improvement bad trade,2
834, fund dividend balance arrears,2
835, branch operatives branches seamen,2
836, houses housing rooms house,2
837, arbitration suspension suspended umpire,2
838, conference union labour council,2
839, unemployment employers insurance labour,2
840, arbitration superannuation pensions returns,2
841, herald daily daily herald scottish,2
842, defendant witness defendants court,2
843, union trade unemployment employers,2
844, conference party delegates labour,2
845, insurance superannuation pensions rates,2
846, war government policy scheme,2
847, members meeting membership meetings,2
848, holiday week hours day,2
849, rule delete line defendant,2
850, trade firm manufacturers employment,2
851, government policy scheme people,2
852, members membership happy position,2
853, women womens girls men rely,2
854, age children females boys,2
855, operatives members central office office,2
856, branch branches dividend fund,2
857, rates prices price fixed,2
858, tuberculosis health minister health treatment,2
859, conference branch delegates education,2
860, superannuation pensions rates fund,2
861, general secretary general secretary president,2
862, resolution agreement federation national agreement,2
863, leicester london street northampton,2
864, trade rates cost cost living,2
865, cent year th increase,2
866, wages insurance rates fund,2
867, branch operatives branches government,2
868, convention vote conventions election,2
869, league federation russia russian,2
870, cost living living cost food,2
871, death sympathy widow regret,2
872, holiday february holidays march,2
873, operatives short short time suspension,2
874, members stamp membership stamped,2
875, ireland irish scotland scottish,2
876, conference resolution branch council,2
877, women leicester womens commons,2
878, government war policy nations,2
879, movement members hope membership,2
880, street hm road mr,2
881, trade board trade board rates,2
882, party labour labour party vote,2
883, death buckle mr sympathy,2
884, employment unemployed improvement percentage,2
885, arbitration defendant arbitration board board,2
886, operatives war service service men,2
887, land agricultural agriculture agricultural workers,2
888, conference resolution chairman members,2
889, mr commons house commons poulton,2
890, hours employment hour short time,2
891, operatives seamen war service,2
892, council general conference members,2
893, firm manufacturers trade board trade,2
894, street road london metro,2
895, members membership new members general president,2
896, operatives seamen officers ship,2
897, conference delegates council rule,2
898, operatives seamen service men,2
899, statements government movement time,2
900, fund insurance funds sick,2
901, cent cost living increase rates,2
902, nations league league nations countries,2
